County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
127,IA,Marshall County,18539,38591,$821134,$575502,$16541,$30218
129,IA,Mills County,6703,14355,$342721,$259805,$4076,$8445
131,IA,Mitchell County,4714,10248,$214038,$132662,$3839,$10925
133,IA,Monona County,4468,8871,$172710,$109504,$3474,$7910
135,IA,Monroe County,3530,7322,$132262,$98821,$1395,$4961
137,IA,Montgomery County,5118,10466,$199100,$134582,$4502,$9519
139,IA,Muscatine County,19530,41401,$986364,$712263,$25503,$30226
141,IA,O'Brien County,6601,13959,$289161,$180428,$4924,$15591
143,IA,Osceola County,2988,6432,$120570,$79526,$1925,$5698
145,IA,Page County,7197,14496,$297741,$196227,$6607,$13936
147,IA,Palo Alto County,4446,9052,$185196,$116058,$3585,$7928
149,IA,Plymouth County,10966,24542,$576223,$401821,$10216,$24468
151,IA,Pocahontas County,3557,7392,$143586,$88600,$2375,$6031
153,IA,Polk County,190036,388478,$11518530,$8735397,$227457,$315719
155,IA,Pottawattamie County,42238,85458,$1926388,$1439110,$25193,$48504
157,IA,Poweshiek County,8335,16880,$407938,$265987,$9685,$18547
159,IA,Ringgold County,2268,4698,$94376,$51225,$1772,$5143
161,IA,Sac County,4826,10103,$200760,$123746,$6176,$11138
163,IA,Scott County,77436,157077,$4435753,$3212499,$100352,$121294
165,IA,Shelby County,5567,11920,$256117,$157980,$4922,$14823
167,IA,Sioux County,12530,30712,$693829,$439174,$11673,$34215
169,IA,Story County,33415,65755,$2007570,$1370011,$46806,$61857
171,IA,Tama County,8197,17493,$355090,$235299,$4973,$13936
173,IA,Taylor County,2895,6004,$103304,$69833,$1192,$4566
175,IA,Union County,5827,11586,$221422,$160065,$3098,$8284
177,IA,Van Buren County,3435,7130,$121473,$84817,$2455,$5052
179,IA,Wapello County,16906,33918,$635449,$467431,$11227,$19204
181,IA,Warren County,19199,42860,$1121587,$871147,$15551,$25508
183,IA,Washington County,9806,21007,$443478,$303545,$10060,$18600
185,IA,Wayne County,2965,6148,$97442,$65078,$1676,$4215
187,IA,Webster County,17536,34774,$767422,$527434,$16901,$27160
189,IA,Winnebago County,5108,10437,$229418,$151638,$5063,$8570
191,IA,Winneshiek County,8824,18432,$400069,$272067,$10748,$20315
193,IA,Woodbury County,45217,94859,$2005910,$1469386,$41112,$63643
195,IA,Worth County,3600,7403,$154669,$103493,$3104,$5992
197,IA,Wright County,6172,12710,$258726,$165711,$5559,$10552
1,KS,Allen County,6176,12565,$218720,$160317,$3503,$7556
3,KS,Anderson County,3676,7942,$136261,$102036,$1548,$6262
5,KS,Atchison County,7263,15086,$285774,$216780,$6682,$9466
7,KS,Barber County,2230,4539,$89542,$57114,$1538,$3910
9,KS,Barton County,12177,25497,$546110,$372916,$12097,$24454
11,KS,Bourbon County,6609,13978,$247079,$170440,$3977,$10492
13,KS,Brown County,4691,9724,$177507,$118631,$5035,$7330
15,KS,Butler County,26069,58693,$1529248,$1143243,$21695,$38182
17,KS,Chase County,1235,2512,$60056,$46957,$2459,$3037
19,KS,Chautauqua County,1724,3446,$56324,$38062,$1084,$2312
21,KS,Cherokee County,9479,19846,$307244,$242450,$3483,$9478
23,KS,Cheyenne County,1295,2641,$42939,$24542,$772,$2804
25,KS,Clark County,936,1985,$43386,$25141,$841,$1764
27,KS,Clay County,3969,8445,$161664,$105516,$3664,$6902
29,KS,Cloud County,4403,8731,$156825,$104804,$3041,$7763
31,KS,Coffey County,3888,8383,$171676,$132726,$2037,$6110
33,KS,Comanche County,817,1746,$33714,$19302,$613,$1510
35,KS,Cowley County,15483,32768,$653321,$472749,$11260,$19870
37,KS,Crawford County,16312,32812,$614715,$449821,$13010,$28141
39,KS,Decatur County,1435,2809,$52740,$28921,$1247,$8810
41,KS,Dickinson County,9134,19202,$377724,$269007,$6110,$12449
43,KS,Doniphan County,3477,7173,$136796,$103572,$1062,$4412
45,KS,Douglas County,43044,82438,$2292802,$1686114,$52701,$66881
47,KS,Edwards County,1405,2973,$53501,$36620,$872,$2543
49,KS,Elk County,1387,2758,$42719,$28188,$1066,$1806
51,KS,Ellis County,12147,23966,$593588,$411937,$14066,$22650
53,KS,Ellsworth County,2707,5392,$111406,$75706,$2009,$4706
55,KS,Finney County,14501,36513,$632739,$483193,$8983,$19768
57,KS,Ford County,12737,32101,$541446,$405077,$11006,$16057
59,KS,Franklin County,11581,24672,$489854,$386833,$5374,$13242
61,KS,Geary County,16390,35315,$558215,$439400,$5696,$11322
63,KS,Gove County,1209,2581,$45710,$25716,$854,$3667
65,KS,Graham County,1312,2558,$51184,$29881,$685,$1976
67,KS,Grant County,2965,7635,$155492,$109238,$2084,$4277
69,KS,Gray County,2393,5788,$116308,$76815,$1054,$5391
71,KS,Greeley County,561,1218,$28349,$15137,$402,$1262
73,KS,Greenwood County,3156,6163,$149051,$73573,$2381,$4255
75,KS,Hamilton County,1036,2499,$45981,$27758,$489,$1920
77,KS,Harper County,2818,5680,$113713,$71210,$1494,$5463
79,KS,Harvey County,14906,32322,$696140,$513293,$11657,$19608
81,KS,Haskell County,1573,4005,$86838,$50928,$1430,$3415
83,KS,Hodgeman County,843,1877,$35389,$21331,$717,$1503
85,KS,Jackson County,5860,12765,$245133,$190400,$2445,$8353
87,KS,Jefferson County,8266,17909,$396952,$305169,$4064,$10210
89,KS,Jewell County,1585,3109,$54643,$28854,$1464,$3918
91,KS,Johnson County,227227,496397,$19633601,$14007611,$561200,$659299
93,KS,Kearny County,1576,3951,$74799,$47924,$1006,$3481
95,KS,Kingman County,3537,7491,$163546,$106519,$3461,$6488
97,KS,Kiowa County,960,2097,$41333,$25366,$702,$1962
99,KS,Labette County,10151,20634,$354396,$268531,$4910,$11727
101,KS,Lane County,810,1688,$37645,$21334,$963,$2040
103,KS,Leavenworth County,30128,65823,$1613526,$1223815,$18958,$37966
105,KS,Lincoln County,1522,3128,$52749,$35349,$808,$3057
107,KS,Linn County,4171,8867,$165597,$117283,$2239,$6288
109,KS,Logan County,1288,2666,$56949,$34472,$814,$3089
111,KS,Lyon County,14828,31007,$589612,$442094,$10003,$18595
113,KS,McPherson County,12925,27612,$634067,$444787,$13089,$17786
115,KS,Marion County,5425,11674,$212979,$149531,$3185,$8001
117,KS,Marshall County,4894,10245,$212196,$139718,$4007,$12322
119,KS,Meade County,1790,4275,$92192,$51944,$1898,$4052
121,KS,Miami County,13296,29720,$743483,$574973,$9709,$18235
123,KS,Mitchell County,2835,5863,$139597,$77259,$6006,$5499
125,KS,Montgomery County,16104,33128,$622294,$459212,$8963,$19567
127,KS,Morris County,2685,5635,$104778,$71798,$2154,$4296
129,KS,Morton County,1369,3252,$69660,$44240,$1213,$2512
131,KS,Nemaha County,4553,10121,$205957,$133474,$7547,$13871
133,KS,Neosho County,7430,15455,$284605,$204243,$3745,$8283
135,KS,Ness County,1433,2944,$67242,$36449,$1322,$3417
137,KS,Norton County,2334,4768,$95996,$62151,$1481,$5818
139,KS,Osage County,7454,15819,$307441,$229656,$2887,$9348
141,KS,Osborne County,1883,3783,$67933,$39058,$1697,$4432
143,KS,Ottawa County,2755,5943,$118487,$87081,$1539,$3515
145,KS,Pawnee County,3028,5877,$112075,$79814,$2391,$3998
147,KS,Phillips County,2538,5379,$101421,$64798,$2706,$6496
149,KS,Pottawatomie County,8584,19808,$430593,$319640,$7457,$13237
