County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
129,KY,Lee County,3083,6201,$73978,$54954,$671,$2369
131,KY,Leslie County,5068,10810,$135382,$113259,$183,$2652
133,KY,Letcher County,10627,22190,$313625,$255361,$778,$6118
135,KY,Lewis County,5912,12715,$154927,$124134,$662,$3509
137,KY,Lincoln County,11058,23272,$328893,$252596,$6752,$9356
139,KY,Livingston County,4528,9033,$171502,$119487,$2189,$5148
141,KY,Logan County,12006,25097,$415890,$306409,$5699,$12641
143,KY,Lyon County,3428,6678,$142070,$88755,$2366,$4864
145,KY,McCracken County,31064,61333,$1476909,$982897,$35385,$55070
147,KY,McCreary County,6745,14185,$137991,$106568,$287,$13099
149,KY,McLean County,4362,9148,$155848,$117522,$1490,$4108
151,KY,Madison County,32969,67582,$1379911,$1049296,$14544,$33148
153,KY,Magoffin County,5095,11271,$136867,$112084,$402,$4363
155,KY,Marion County,8332,17151,$287239,$219634,$3502,$9671
157,KY,Marshall County,14606,29797,$627974,$423882,$11755,$21296
159,KY,Martin County,4688,10216,$122588,$97437,$391,$2734
161,KY,Mason County,7923,16339,$306386,$226835,$8532,$8952
163,KY,Meade County,11934,26782,$479175,$377305,$3313,$11903
165,KY,Menifee County,2843,5838,$68004,$55134,$244,$1541
167,KY,Mercer County,10041,20738,$396219,$297167,$4714,$12113
169,KY,Metcalfe County,4544,9470,$118038,$91958,$470,$4342
171,KY,Monroe County,5098,10590,$135320,$101037,$786,$5105
173,KY,Montgomery County,11844,24600,$440895,$333644,$4146,$12662
175,KY,Morgan County,5092,11007,$146798,$117616,$711,$5041
177,KY,Muhlenberg County,13926,28961,$475594,$343624,$6803,$15962
179,KY,Nelson County,20176,41746,$884663,$646854,$11068,$25803
181,KY,Nicholas County,3289,6860,$97612,$80803,$516,$2642
183,KY,Ohio County,10425,22662,$346598,$261725,$2489,$11703
185,KY,Oldham County,21545,52530,$1871261,$1397305,$40819,$41709
187,KY,Owen County,4405,9499,$164040,$126303,$998,$4559
189,KY,Owsley County,1926,3843,$40006,$30487,$60,$1279
191,KY,Pendleton County,6172,13273,$243036,$190756,$2025,$5559
193,KY,Perry County,13181,27494,$418584,$331968,$2539,$10350
195,KY,Pike County,28118,58021,$940220,$709486,$10546,$30249
197,KY,Powell County,5982,12505,$163291,$130711,$502,$3076
199,KY,Pulaski County,28117,57294,$917430,$652164,$10698,$33283
201,KY,Robertson County,870,1819,$27606,$20866,$171,$912
203,KY,Rockcastle County,7318,15471,$194477,$154424,$994,$4921
205,KY,Rowan County,9089,18147,$306377,$232019,$2963,$8484
207,KY,Russell County,7930,15977,$246250,$153815,$2249,$7818
209,KY,Scott County,18749,41526,$1012321,$831805,$9711,$18598
211,KY,Shelby County,16973,37143,$931493,$662847,$19981,$22409
213,KY,Simpson County,7681,15919,$286589,$217277,$7429,$8232
215,KY,Spencer County,6909,15570,$359537,$294662,$1865,$5187
217,KY,Taylor County,10479,21284,$339454,$254585,$3576,$12821
219,KY,Todd County,5095,11346,$174580,$119290,$3372,$6571
221,KY,Trigg County,6134,12699,$231602,$152782,$3224,$7311
223,KY,Trimble County,3882,8354,$143717,$121198,$672,$3001
225,KY,Union County,6550,13494,$256116,$181842,$4497,$7543
227,KY,Warren County,44399,91864,$2096751,$1523999,$31936,$62088
229,KY,Washington County,5124,10688,$175099,$141186,$2916,$7535
231,KY,Wayne County,8718,17907,$223161,$166959,$1740,$7868
233,KY,Webster County,6166,12915,$227892,$170727,$2434,$6428
235,KY,Whitley County,16200,33444,$473736,$344850,$4823,$16386
237,KY,Wolfe County,3228,6534,$71130,$56682,$172,$2298
239,KY,Woodford County,10905,23680,$623979,$436085,$14798,$20764
1,LA,Acadia Parish,26268,56445,$1046280,$763976,$11288,$28226
3,LA,Allen Parish,9465,20565,$323009,$259513,$2815,$6186
5,LA,Ascension Parish,41527,94634,$2316615,$1901528,$18445,$36084
7,LA,Assumption Parish,11159,23233,$417838,$341963,$4776,$8109
9,LA,Avoyelles Parish,19162,39244,$614391,$456931,$8583,$13894
11,LA,Beauregard Parish,13751,30718,$567107,$452768,$5403,$11215
13,LA,Bienville Parish,6601,13486,$217336,$157522,$1880,$4858
15,LA,Bossier Parish,48592,102688,$2265879,$1712569,$21725,$47092
17,LA,Caddo Parish,113626,226703,$4820938,$3360907,$96721,$154143
19,LA,Calcasieu Parish,81309,171230,$3666463,$2789024,$51273,$94750
21,LA,Caldwell Parish,4463,9169,$157430,$127997,$952,$3203
23,LA,Cameron Parish,2931,6628,$149718,$109250,$2183,$4084
25,LA,Catahoula Parish,4585,9655,$143640,$112159,$837,$3206
27,LA,Claiborne Parish,6841,13759,$235524,$160872,$3487,$7482
29,LA,Concordia Parish,8880,18365,$277198,$205285,$5546,$7071
31,LA,De Soto Parish,12179,25661,$438084,$336848,$3884,$9547
33,LA,East Baton Rouge Parish,182403,370495,$9447386,$6724275,$184450,$264001
35,LA,East Carroll Parish,3138,6784,$88099,$53515,$1404,$3440
37,LA,East Feliciana Parish,8649,17963,$336434,$261591,$3440,$8341
39,LA,Evangeline Parish,14457,31210,$477711,$383067,$5135,$13653
41,LA,Franklin Parish,9047,18828,$275141,$212132,$1604,$8030
43,LA,Grant Parish,8351,18037,$304636,$241748,$1702,$5204
45,LA,Iberia Parish,33478,71519,$1391114,$1048532,$26114,$34810
47,LA,Iberville Parish,14019,29267,$548117,$434802,$8584,$11405
49,LA,Jackson Parish,7230,14833,$256567,$195089,$1834,$5825
51,LA,Jefferson Parish,193290,379872,$9131209,$6636774,$160117,$379761
53,LA,Jefferson Davis Parish,13484,29130,$527946,$397183,$7381,$13896
55,LA,Lafayette Parish,91075,185471,$5090438,$3575543,$102400,$150500
57,LA,Lafourche Parish,40144,85667,$1973743,$1460110,$34685,$52160
59,LA,La Salle Parish,5758,12492,$242265,$191898,$1650,$4709
61,LA,Lincoln Parish,16074,33205,$723098,$481961,$15684,$21554
63,LA,Livingston Parish,49492,111034,$2287812,$1867739,$13307,$30069
65,LA,Madison Parish,4964,10579,$127319,$99310,$828,$4274
67,LA,Morehouse Parish,13083,27758,$405561,$307658,$5871,$10248
69,LA,Natchitoches Parish,16001,33272,$564539,$424112,$6702,$16064
71,LA,Orleans Parish,120231,223888,$5099125,$3688855,$146375,$181513
73,LA,Ouachita Parish,65106,137211,$2647001,$1937944,$44011,$72740
75,LA,Plaquemines Parish,9368,20640,$455883,$349852,$5204,$10883
77,LA,Pointe Coupee Parish,10105,21024,$407107,$298163,$5720,$12026
79,LA,Rapides Parish,58144,120055,$2415711,$1723792,$38379,$65587
81,LA,Red River Parish,3855,8304,$123122,$96854,$949,$3481
83,LA,Richland Parish,8960,18822,$302508,$225405,$3019,$6598
85,LA,Sabine Parish,10025,21308,$379937,$278956,$3607,$8191
87,LA,St. Bernard Parish,10973,22425,$326596,$290378,$8286,$12751
89,LA,St. Charles Parish,22493,50191,$1186298,$974101,$10947,$21088
91,LA,St. Helena Parish,5925,12872,$182494,$145506,$799,$3419
93,LA,St. James Parish,10023,21928,$427451,$352968,$4168,$7903
95,LA,St. John the Baptist Parish,20267,44671,$842878,$704713,$6623,$12118
97,LA,St. Landry Parish,38743,82042,$1368705,$1060413,$14622,$36926
99,LA,St. Martin Parish,22703,48513,$885060,$719296,$8434,$19010
101,LA,St. Mary Parish,24732,53458,$1041864,$760347,$22060,$29477
103,LA,St. Tammany Parish,92014,201019,$5463254,$4013098,$108880,$177017
105,LA,Tangipahoa Parish,47054,100707,$1773050,$1389549,$18719,$39957
107,LA,Tensas Parish,2354,4810,$69366,$46697,$2598,$3151
109,LA,Terrebonne Parish,49080,106379,$2388813,$1811756,$34466,$52237
111,LA,Union Parish,9726,20566,$334748,$262392,$2888,$7912
113,LA,Vermilion Parish,24908,53131,$1046902,$793242,$15642,$28203
115,LA,Vernon Parish,19557,44224,$653721,$602287,$5464,$9671
117,LA,Washington Parish,19430,40343,$579754,$446451,$5177,$19134
119,LA,Webster Parish,18282,37469,$684038,$494792,$8043,$17497
121,LA,West Baton Rouge Parish,10402,22072,$466017,$372614,$4336,$7254
123,LA,West Carroll Parish,5040,10711,$162709,$134590,$778,$4151
125,LA,West Feliciana Parish,4247,9373,$242621,$169947,$3618,$5658
127,LA,Winn Parish,6168,12956,$216647,$161213,$1977,$5082
1,ME,Androscoggin County,52581,100287,$2033509,$1618261,$24797,$48546
3,ME,Aroostook County,35911,69138,$1206225,$886837,$13645,$33840
5,ME,Cumberland County,135336,256501,$7959106,$5519364,$254959,$255984
7,ME,Franklin County,14151,27060,$518323,$370445,$10935,$15346
9,ME,Hancock County,26084,48948,$1202017,$713502,$53387,$49629
11,ME,Kennebec County,60426,115294,$2520087,$1846202,$43248,$71576
13,ME,Knox County,19384,36397,$876386,$500511,$44805,$40863
15,ME,Lincoln County,17212,32830,$838197,$479268,$43607,$41566
17,ME,Oxford County,27806,53331,$968120,$710142,$19648,$27335
19,ME,Penobscot County,71837,137545,$2908229,$2182324,$50048,$74728
21,ME,Piscataquis County,8555,16481,$270004,$185057,$5454,$8942
23,ME,Sagadahoc County,17595,34493,$854604,$596809,$27282,$27749
25,ME,Somerset County,24903,48446,$815884,$625171,$11126,$21357
27,ME,Waldo County,18366,35573,$697647,$482796,$20039,$23182
29,ME,Washington County,16269,30937,$491098,$336074,$8882,$15969
31,ME,York County,95702,186447,$4794928,$3468066,$105656,$141948
1,MD,Allegany County,32548,62062,$1255176,$897278,$21774,$36208
3,MD,Anne Arundel County,236530,478662,$17827661,$13353275,$324451,$428384
5,MD,Baltimore County,373951,728972,$24360284,$17642788,$627952,$762429
9,MD,Calvert County,37792,83288,$2819127,$2181158,$34152,$56662
11,MD,Caroline County,14760,30263,$643407,$490511,$8054,$15148
13,MD,Carroll County,73053,160849,$5187098,$4036928,$78094,$124387
15,MD,Cecil County,42904,91058,$2385258,$1890664,$27876,$45509
17,MD,Charles County,63614,135736,$4212848,$3455031,$27452,$66402
19,MD,Dorchester County,16023,30598,$649944,$446124,$17112,$22454
21,MD,Frederick County,101024,217769,$7272313,$5721614,$114415,$164958
23,MD,Garrett County,13581,27866,$566009,$381516,$9249,$20248
25,MD,Harford County,108562,232848,$7300397,$5697363,$92514,$152077
27,MD,Howard County,115443,256681,$11218573,$8674744,$206538,$264536
29,MD,Kent County,9123,17259,$549423,$291825,$33027,$26655
31,MD,Montgomery County,415139,847083,$38617505,$26793266,$1133485,$1337502
33,MD,Prince George's County,391576,766055,$20521262,$17219850,$126973,$252872
35,MD,Queen Anne's County,20138,42574,$1503951,$1030167,$31942,$44114
37,MD,St. Mary's County,43436,94037,$2837951,$2242261,$26411,$51662
39,MD,Somerset County,9764,18662,$339066,$242120,$5565,$10005
41,MD,Talbot County,17166,33085,$1329946,$686684,$81507,$71416
43,MD,Washington County,67260,134469,$3338037,$2522343,$53452,$83964
45,MD,Wicomico County,42301,83822,$2004173,$1481310,$36077,$57600
47,MD,Worcester County,25872,47588,$1391934,$748716,$38438,$74064
510,MD,Baltimore city,275735,499684,$10515795,$8473588,$174255,$196998
1,MA,Barnstable County,111473,202964,$6907841,$3873755,$303673,$346784
3,MA,Berkshire County,63806,117406,$3192882,$2110490,$117038,$139817
5,MA,Bristol County,255959,500568,$13301327,$10428751,$174208,$326877
7,MA,Dukes County,8363,14846,$550402,$272194,$29603,$27580
9,MA,Essex County,339186,671341,$22994566,$16936382,$555524,$731425
11,MA,Franklin County,35040,65080,$1662103,$1175356,$44227,$52953
13,MA,Hampden County,215854,418004,$9981781,$7660415,$143291,$282873
15,MA,Hampshire County,68113,127031,$3858012,$2706303,$98010,$130784
17,MA,Middlesex County,672093,1304427,$56603659,$41010933,$1540035,$2045556
19,MA,Nantucket County,5684,9667,$470276,$238602,$19396,$18343
21,MA,Norfolk County,295363,595388,$27114807,$19370617,$722944,$951574
23,MA,Plymouth County,219128,453967,$15339009,$11432078,$276834,$386921
25,MA,Suffolk County,330219,545627,$18616961,$14322882,$533478,$558735
27,MA,Worcester County,357816,728960,$21632723,$17059973,$349164,$522340
1,MI,Alcona County,5508,10477,$186175,$91063,$4797,$9387
3,MI,Alger County,4297,8479,$158438,$106582,$2558,$4231
5,MI,Allegan County,49761,109470,$2396973,$1768639,$51112,$63922
7,MI,Alpena County,14361,28567,$557117,$356978,$13217,$21443
9,MI,Antrim County,11157,22615,$512532,$279950,$18388,$25661
11,MI,Arenac County,7748,15428,$266460,$168105,$3955,$8674
13,MI,Baraga County,3711,7312,$133452,$90306,$2832,$4662
15,MI,Barry County,26322,57590,$1319832,$939813,$29201,$30209
17,MI,Bay County,52094,103582,$2259690,$1598464,$39639,$80386
19,MI,Benzie County,8450,16954,$355748,$209902,$13336,$16245
21,MI,Berrien County,73112,148613,$3353600,$2375835,$83801,$104941
23,MI,Branch County,19540,41536,$742710,$551541,$12031,$23368
25,MI,Calhoun County,62307,126468,$2648142,$1945519,$50684,$67717
27,MI,Cass County,23617,48833,$1070387,$767300,$19380,$32534
29,MI,Charlevoix County,12339,25063,$634231,$354859,$22283,$28226
31,MI,Cheboygan County,12711,25316,$481357,$285099,$16393,$21038
33,MI,Chippewa County,15554,31000,$573690,$411726,$8331,$15149
35,MI,Clare County,14372,28824,$448165,$287348,$6521,$12696
37,MI,Clinton County,31342,69560,$1812335,$1392680,$23129,$47258
39,MI,Crawford County,6624,13093,$222907,$146961,$3554,$6665
41,MI,Delta County,18149,36434,$719482,$505808,$13149,$23496
43,MI,Dickinson County,12837,25796,$568578,$391840,$13672,$23146
45,MI,Eaton County,49770,102821,$2511946,$1859240,$36388,$69547
47,MI,Emmet County,15395,31160,$855440,$497379,$38202,$40755
49,MI,Genesee County,192204,395908,$8701546,$6208457,$144447,$214496
51,MI,Gladwin County,12180,24520,$431614,$262045,$7808,$14934
53,MI,Gogebic County,7578,14051,$260093,$168540,$6878,$9626
55,MI,Grand Traverse County,40509,80827,$2113275,$1373781,$64812,$72204
57,MI,Gratiot County,17174,36356,$681471,$492922,$10862,$20257
59,MI,Hillsdale County,20355,43644,$787320,$573496,$16512,$22042
61,MI,Houghton County,14734,29592,$559526,$391349,$15182,$19881
63,MI,Huron County,16415,32936,$657247,$401682,$14254,$38052
65,MI,Ingham County,115997,228503,$5858247,$4305236,$112892,$161929
67,MI,Ionia County,25775,56925,$1083944,$848366,$11488,$23931
69,MI,Iosco County,13160,24954,$431858,$243899,$9729,$17989
71,MI,Iron County,6065,11346,$200010,$127039,$4506,$9165
73,MI,Isabella County,24296,49101,$1109475,$731934,$20027,$30147
75,MI,Jackson County,69613,144061,$3124323,$2336357,$57820,$88374
77,MI,Kalamazoo County,107541,215837,$5761917,$4132376,$160904,$156700
79,MI,Kalkaska County,7893,16132,$281347,$194077,$4043,$6922
81,MI,Kent County,260777,564326,$13967916,$10281052,$284025,$375025
83,MI,Keweenaw County,1032,1976,$42843,$23320,$1368,$2294
85,MI,Lake County,5205,9933,$138694,$88226,$2793,$3977
87,MI,Lapeer County,38601,86426,$1974478,$1476029,$25179,$50022
89,MI,Leelanau County,9990,20239,$661656,$323297,$33848,$38214
91,MI,Lenawee County,44676,94332,$2022843,$1526582,$28574,$47758
93,MI,Livingston County,75982,173406,$5505907,$4169656,$86870,$139068
95,MI,Luce County,2723,5459,$95577,$62119,$1592,$2826
97,MI,Mackinac County,5707,10892,$219181,$128121,$5878,$9206
99,MI,Macomb County,385339,790556,$20456043,$15498960,$298999,$665260
101,MI,Manistee County,11770,22842,$437796,$280386,$10926,$17535
103,MI,Marquette County,29097,56964,$1307371,$919909,$27042,$34445
105,MI,Mason County,13512,27228,$531292,$351307,$12904,$18234
107,MI,Mecosta County,16375,33822,$648652,$435698,$12656,$17357
109,MI,Menominee County,11595,22905,$463640,$321297,$11563,$16566
111,MI,Midland County,36814,79320,$2398100,$1714781,$93974,$70236
113,MI,Missaukee County,6502,14033,$223380,$154866,$2973,$6759
115,MI,Monroe County,69042,147505,$3729443,$2876650,$54970,$93577
117,MI,Montcalm County,27351,58847,$964053,$723693,$13247,$22848
119,MI,Montmorency County,4975,9329,$155177,$80537,$3805,$6273
121,MI,Muskegon County,77078,160508,$3087643,$2316763,$56987,$79060
123,MI,Newaygo County,21690,47289,$820733,$601924,$11684,$19890
125,MI,Oakland County,532726,1110902,$41636351,$29939923,$1092911,$1726441
127,MI,Oceana County,12104,26057,$447288,$297627,$9479,$14757
129,MI,Ogemaw County,10419,20376,$333842,$208900,$6427,$11409
131,MI,Ontonagon County,3513,6528,$115522,$76254,$2317,$3425
133,MI,Osceola County,10513,22276,$363600,$253231,$6187,$10480
135,MI,Oscoda County,4189,8273,$121106,$66898,$1979,$5008
137,MI,Otsego County,11354,23570,$488970,$326366,$9050,$16105
139,MI,Ottawa County,105124,243273,$6211903,$4442690,$148487,$185953
141,MI,Presque Isle County,6831,13322,$241814,$143832,$5603,$9711
143,MI,Roscommon County,12241,22901,$406478,$207620,$10026,$17646
145,MI,Saginaw County,90305,183936,$3954399,$2750184,$69301,$121182
147,MI,St. Clair County,80274,162681,$3635248,$2719771,$54963,$99158
149,MI,St. Joseph County,28077,60069,$1173071,$843790,$19235,$32216
151,MI,Sanilac County,19621,41958,$724497,$510498,$12703,$26179
153,MI,Schoolcraft County,3953,7885,$145587,$98103,$3200,$4710
155,MI,Shiawassee County,32251,68500,$1401257,$1052251,$17510,$32418
157,MI,Tuscola County,25690,54473,$999447,$718874,$13167,$28116
159,MI,Van Buren County,34551,73576,$1466625,$1116313,$23745,$35904
161,MI,Washtenaw County,139066,282614,$9885195,$7282777,$261406,$294539
163,MI,Wayne County,805073,1657781,$36251195,$27275308,$589163,$939811
165,MI,Wexford County,15007,30955,$545443,$393813,$10132,$17098
1,MN,Aitkin County,7393,14274,$276521,$158157,$5561,$11892
3,MN,Anoka County,145589,313978,$8707028,$7022792,$90846,$148642
5,MN,Becker County,14854,30627,$628804,$418775,$11182,$22260
7,MN,Beltrami County,18432,38242,$735693,$517744,$11027,$26819
9,MN,Benton County,18182,36707,$815260,$645906,$9959,$20565
11,MN,Big Stone County,2553,5051,$94701,$57945,$1643,$5603
13,MN,Blue Earth County,26580,51135,$1276672,$912312,$21365,$42383
15,MN,Brown County,12448,25286,$544396,$388276,$10899,$25710
17,MN,Carlton County,15586,32174,$675220,$508319,$8243,$13791
19,MN,Carver County,35727,85033,$3287149,$2560938,$52481,$76933
21,MN,Cass County,13639,27775,$594219,$327785,$13044,$31094
23,MN,Chippewa County,6055,12462,$265115,$174984,$3380,$10361
25,MN,Chisago County,22847,51078,$1308351,$1030833,$12883,$24084
27,MN,Clay County,23474,48765,$1117914,$830160,$14779,$30407
29,MN,Clearwater County,3938,8177,$136252,$100330,$1530,$3905
31,MN,Cook County,2748,4989,$121856,$67792,$3518,$6209
33,MN,Cottonwood County,5409,11283,$234524,$136013,$4030,$11018
35,MN,Crow Wing County,28918,58410,$1321793,$855904,$23090,$51650
37,MN,Dakota County,176183,381088,$12685568,$9940125,$203906,$281692
39,MN,Dodge County,8362,19188,$470013,$360672,$3788,$14668
41,MN,Douglas County,17111,34834,$843003,$542286,$15853,$33113
43,MN,Faribault County,7278,14628,$318557,$182982,$14356,$12292
45,MN,Fillmore County,9685,20201,$417448,$300908,$6103,$16265
47,MN,Freeborn County,15121,30702,$654475,$445600,$13281,$20960
49,MN,Goodhue County,21245,44382,$1178263,$817040,$19582,$33446
51,MN,Grant County,2975,5978,$125013,$75741,$1989,$6095
53,MN,Hennepin County,531691,1024628,$39562689,$28712049,$1097376,$1220085
55,MN,Houston County,8990,18911,$437893,$308518,$8642,$16595
57,MN,Hubbard County,9086,18534,$365923,$225856,$6707,$14188
59,MN,Isanti County,16510,35598,$831105,$651991,$8020,$17577
61,MN,Itasca County,20607,41819,$869906,$577452,$14335,$26823
63,MN,Jackson County,4847,10023,$208055,$130086,$2681,$8305
65,MN,Kanabec County,7694,15795,$288187,$215356,$3117,$8284
67,MN,Kandiyohi County,18875,39861,$991545,$633934,$22366,$37800
69,MN,Kittson County,2200,4492,$89189,$54406,$2073,$4347
71,MN,Koochiching County,6466,12547,$253164,$182903,$3382,$7811
73,MN,Lac qui Parle County,3451,7167,$146600,$85335,$1969,$6533
75,MN,Lake County,5230,10191,$227732,$153899,$4419,$7277
77,MN,Lake of the Woods County,2041,4004,$74914,$52314,$1318,$3159
79,MN,Le Sueur County,12447,26768,$671884,$473103,$8250,$20980
81,MN,Lincoln County,2821,5725,$114781,$68563,$2470,$4705
83,MN,Lyon County,11263,23735,$557322,$388059,$10144,$19392
85,MN,McLeod County,17112,36423,$854548,$639064,$12144,$25594
87,MN,Mahnomen County,2436,5072,$75451,$53965,$687,$2515
89,MN,Marshall County,4577,9471,$193949,$129810,$2614,$7013
91,MN,Martin County,10175,20559,$451991,$291334,$10544,$18037
93,MN,Meeker County,10581,22690,$486880,$352633,$6253,$14821
95,MN,Mille Lacs County,12039,24772,$484953,$358980,$5472,$13187
97,MN,Morrison County,15650,32670,$619820,$463141,$9350,$21106
99,MN,Mower County,18352,38582,$802504,$581957,$15091,$26002
101,MN,Murray County,4073,8389,$179484,$103173,$2702,$8721
103,MN,Nicollet County,13785,28670,$742316,$530060,$12134,$22624
105,MN,Nobles County,9269,19919,$393354,$252948,$7620,$15564
107,MN,Norman County,3211,6640,$142219,$76077,$2462,$5610
109,MN,Olmsted County,64397,137197,$4282309,$3341665,$74660,$111122
111,MN,Otter Tail County,27035,55178,$1205517,$758289,$23561,$48884
113,MN,Pennington County,6536,12937,$368145,$215994,$5523,$21640
115,MN,Pine County,12804,25576,$475153,$347843,$4607,$12931
117,MN,Pipestone County,4484,9369,$184638,$113942,$3208,$8050
119,MN,Polk County,14119,29096,$606251,$420708,$10930,$18983
121,MN,Pope County,5359,10784,$242899,$152601,$3059,$10105
123,MN,Ramsey County,230811,445315,$13301205,$9778403,$324553,$391980
125,MN,Red Lake County,1922,3969,$74918,$55278,$658,$2867
127,MN,Redwood County,7444,15545,$339004,$199836,$5079,$16348
129,MN,Renville County,7618,15809,$344654,$214407,$5550,$14481
131,MN,Rice County,25770,55401,$1392577,$1037946,$21901,$38140
133,MN,Rock County,4258,9236,$200375,$125060,$3236,$8444
135,MN,Roseau County,7263,15891,$321058,$242077,$6122,$11513
137,MN,St. Louis County,92881,175868,$4346009,$3032634,$81047,$132356
139,MN,Scott County,52241,122196,$4153483,$3224622,$45865,$78823
141,MN,Sherburne County,35555,82725,$2139211,$1741501,$20433,$39344
143,MN,Sibley County,7044,15038,$315437,$230774,$4576,$11768
145,MN,Stearns County,62700,130801,$3402013,$2396486,$50612,$113639
147,MN,Steele County,16844,36121,$875470,$655383,$11288,$25353
149,MN,Stevens County,3877,8211,$207889,$120873,$6568,$9840
