state_code,msamd,census_tract_number
42,38300,4867.00
37,39580,0525.01
28,,0017.00
72,38660,0703.00
72,41900,8304.00
42,37964,4097.02
34,20764,8041.00
39,17460,1092.00
53,42644,0239.00
48,41700,1705.00
48,19124,0170.01
34,15804,5001.00
34,15804,7004.02
48,10180,0202.00
49,30860,0002.02
29,28140,0206.04
32,29820,0028.32
55,33340,2034.06
41,,9518.00
48,19124,0173.01
40,46140,0075.23
37,20500,0204.00
48,26420,2523.00
54,,9804.00
51,47894,0102.10
41,18700,0002.00
55,,9902.00
34,35644,1832.00
35,10740,0018.00
45,16740,0606.00
42,37964,0327.00
42,42540,2161.00
41,38900,0237.00
38,22020,0103.04
45,16700,0037.00
48,19124,0181.10
34,20764,8099.01
39,49660,8012.00
36,,0721.00
48,26420,2002.00
36,,9928.00
29,28140,0101.06
36,,9515.00
49,41620,1135.32
36,15380,0221.00
39,17460,1774.04
39,17460,0234.00
31,,9554.00
36,,9601.00
39,17460,3117.00
51,47260,0308.00
39,17460,1125.00
37,20500,0122.00
39,17460,4040.00
36,,9606.00
36,,0408.00
36,,0411.00
45,11340,0117.00
39,17460,1721.02
48,23104,1139.08
38,22020,0103.05
38,,9657.00
31,36540,0019.00
34,20764,7381.00
39,10420,5201.02
53,42644,0105.00
36,40380,0080.00
29,41180,3121.91
41,38900,0314.02
36,,0418.00
45,17900,0024.00
53,42644,0226.04
39,17460,1031.00
47,27740,0713.00
